,pitcher,proj_loc,count,Spot+
762,596295,2.01,2493,118
766,598264,-0.52,237,91
769,598286,-0.36,194,92
774,600917,-0.82,1113,87
779,600986,-0.04,737,96
783,601713,2.18,2192,120
784,605121,-0.06,883,96
788,605130,-1.17,1022,83
792,605135,1.35,2871,111
800,605154,1.0,968,107
803,605155,0.5,391,102
805,605156,0.1,403,97
811,605177,-1.71,879,77
814,605182,0.15,303,98
825,605218,-0.14,12,95
834,605280,0.76,1007,105
838,605288,0.54,1101,102
843,605347,0.79,783,105
849,605397,1.42,1344,112
853,605400,2.19,2894,120
861,605447,0.07,215,97
863,605452,0.8,1071,105
866,605463,-0.91,1203,86
870,605483,-1.8,1685,77
874,605488,-0.54,565,90
880,605513,0.44,916,101
898,606149,-0.16,401,94
902,606160,-0.13,683,95
907,606303,0.95,841,107
916,606930,0.05,1061,97
920,606965,0.41,533,101
923,607067,2.3,2449,121
927,607074,-0.77,2917,88
931,607179,-0.44,733,91
937,607192,0.55,1933,102
940,607200,2.33,2719,122
951,607237,-0.1,104,95
954,607259,2.59,1949,125
964,607455,0.26,743,99
971,607481,1.27,935,110
975,607536,1.73,1598,115
982,607625,1.37,2987,111
986,607644,0.48,320,102
994,608032,1.3,763,111
1001,608331,0.29,2564,99
1004,608334,-0.21,1366,94
1012,608344,1.66,1693,114
1020,608371,-1.17,811,83
1024,608379,1.96,2423,118
1028,608566,-0.16,70,94
1032,608638,0.13,487,98
1036,608648,-0.05,189,96
1046,608678,-0.58,361,90
1052,608717,-0.24,995,94
1056,608718,0.5,958,102
1060,608723,0.14,940,98
1066,612434,-0.03,232,96
1070,613534,-0.26,805,93
1074,614179,0.36,711,100
1078,615698,0.17,2470,98
1082,620982,-0.01,220,96
1085,621016,-0.49,319,91
1088,621051,-0.19,623,94
1090,621053,1.19,753,109
1101,621097,-0.4,221,92
1106,621107,3.86,2262,139
1109,621111,0.24,1176,99
1113,621112,0.21,1212,99
1116,621114,-0.38,473,92
1123,621199,0.07,404,97
1130,621237,-0.41,975,92
1133,621242,0.17,787,98
1137,621244,1.6,2738,114
1145,621294,-0.32,255,93
1152,621345,0.97,522,107
1157,621363,-0.99,495,85
1161,621366,-0.24,128,94
1168,621381,2.04,879,119
1171,621383,0.58,1083,103
1174,621389,1.13,1133,109
1180,622065,-0.01,217,96
1184,622072,0.39,756,101
1188,622075,-0.17,266,94
1191,622088,-0.26,47,93
1196,622098,0.07,318,97
1199,622103,0.0,79,96
1203,622250,0.12,273,98
1207,622251,-0.26,420,93
1210,622253,0.37,528,100
1212,622259,0.2,142,98
1217,622491,3.29,2856,132
1221,622503,0.19,93,98
1225,622554,0.61,969,103
1229,622608,0.22,67,99
1233,622663,0.29,2713,99
1236,622694,0.44,251,101
1240,622766,0.01,10,96
1246,622786,0.72,562,104
1250,623149,0.41,629,101
1254,623167,-1.04,2605,85
1257,623211,-0.34,790,93
1261,623352,0.75,1081,104
1265,623433,0.08,573,97
1271,623451,0.03,51,97
1276,623465,0.85,843,106
1281,623474,0.1,189,97
1287,624133,2.19,2115,120
1293,624522,0.03,465,97
1297,624647,-0.28,386,93
1301,625643,1.3,2018,111
1305,628317,0.52,1846,102
1310,628452,1.02,844,107
1313,628708,-0.31,482,93
1319,630023,0.31,515,100
1326,640448,2.06,988,119
1330,640451,0.75,906,104
1332,640454,-0.06,27,96
1336,640455,0.36,2731,100
1340,640462,0.79,1088,105
1345,640470,0.46,329,101
1347,641149,-0.01,148,96
1351,641154,3.06,2788,130
1355,641302,2.05,1529,119
1358,641312,0.38,225,100
1362,641329,0.23,330,99
1366,641360,-0.1,154,95
1373,641401,-0.39,97,92
1377,641427,-0.02,29,96
1384,641482,1.38,2752,111
1389,641540,0.01,1593,96
1393,641582,-0.04,108,96
1395,641585,-1.29,466,82
1401,641656,0.06,565,97
1409,641703,0.59,510,103
1413,641712,-1.08,1510,84
1416,641726,0.26,281,99
1420,641729,0.93,982,106
1427,641745,-0.33,743,93
1431,641755,-0.48,1163,91
1435,641771,-0.7,933,89
1442,641793,2.12,2319,119
1446,641816,0.61,229,103
1450,641835,0.43,680,101
1461,641927,2.28,2428,121
1465,641941,1.14,555,109
1469,642028,0.11,170,97
1473,642048,-0.43,601,92
1482,642100,0.04,364,97
1486,642121,0.31,292,100
1496,642207,-0.54,316,90
1498,642216,0.05,138,97
1504,642232,1.39,1341,111
1508,642239,0.1,119,97
1512,642397,-0.34,904,93
1513,642520,0.17,428,98
1517,642528,0.16,61,98
1523,642546,-0.77,761,88
1527,642547,-0.23,2879,94
1530,642629,-0.15,371,95
1536,642701,0.99,1033,107
1544,642834,-0.48,121,91
1550,643256,0.18,416,98
1558,643338,0.97,798,107
1561,643361,0.02,115,96
1565,643377,1.36,1012,111
1570,643410,-0.21,924,94
1574,643493,-0.14,78,95
1578,643511,2.66,936,125
1591,646242,0.16,166,98
1595,647315,0.1,709,97
1597,647336,-1.37,1330,81
1612,650556,-0.92,1246,86
1616,650633,1.83,2724,116
1620,650644,0.32,2515,100
1625,650671,-0.98,285,86
1630,650893,-0.55,947,90
1634,650895,0.07,139,97
1638,650911,2.06,2604,119
1643,650960,-0.02,56,96
1646,655889,0.13,550,98
1651,656186,-0.05,83,96
1655,656222,-0.83,1111,87
1659,656232,-0.69,465,89
1662,656234,0.34,628,100
1664,656240,0.12,224,98
1669,656266,0.09,88,97
1672,656271,0.55,515,102
1675,656288,-1.6,2693,79
1682,656302,-0.27,2988,93
1691,656354,-0.26,142,93
1695,656412,0.01,1007,96
1698,656420,-0.07,156,95
1702,656427,0.64,2373,103
1706,656457,0.1,66,97
1709,656458,-0.0,47,96
1713,656464,0.34,1121,100
1718,656529,0.65,351,103
1722,656546,0.44,923,101
1725,656550,0.08,876,97
1729,656557,2.92,2618,128
1736,656605,1.87,2676,117
1741,656629,-0.69,1074,89
1745,656638,-0.73,377,88
1748,656641,-0.95,813,86
1758,656730,0.28,609,99
1762,656731,-0.11,1182,95
1766,656756,-1.16,1838,84
1769,656786,-0.07,194,95
1773,656793,-0.15,96,95
1777,656794,-0.84,184,87
1782,656814,-0.01,10,96
1788,656848,0.05,278,97
1792,656849,-0.4,1712,92
1796,656876,0.42,328,101
1800,656887,-0.7,379,89
1802,656924,-0.05,340,96
1806,656945,-0.1,1091,95
1819,657006,2.19,1927,120
1823,657024,-0.52,595,91
1829,657044,1.67,925,115
1833,657053,-1.33,491,82
1839,657097,0.08,833,97
1848,657240,0.21,272,99
1854,657265,0.05,192,97
1860,657277,2.03,3009,119
1864,657376,0.5,1180,102
1870,657508,-0.42,963,92
1873,657514,0.94,857,107
1876,657571,0.37,905,100
1879,657585,-0.57,908,90
1883,657612,2.08,936,119
1885,657649,1.6,925,114
1889,657697,0.17,178,98
1893,657746,3.97,2106,140
1906,658648,-0.05,1358,96
1911,659275,-0.07,74,95
1922,660600,-0.52,283,91
1930,660761,-0.89,815,86
1936,660813,0.09,74,97
1940,660825,0.29,385,99
1944,660853,1.9,1040,117
1948,660896,0.64,875,103
1956,661269,-0.09,80,95
1964,661395,0.46,805,101
1968,661403,1.7,913,115
1975,661527,0.35,801,100
1978,661563,-1.68,2483,78
1982,662253,-1.12,885,84
1985,663158,0.35,879,100
1987,663321,0.17,139,98
1989,663362,1.55,2355,113
1994,663372,0.15,2412,98
2003,663423,1.26,1067,110
2007,663432,-0.31,868,93
2009,663436,-0.02,807,96
2015,663460,0.99,378,107
2017,663462,-0.09,119,95
2021,663465,0.44,335,101
2025,663474,-2.62,1299,68
2028,663485,1.21,1055,110
2031,663531,-0.33,470,93
2033,663542,1.31,927,111
2036,663546,1.52,1120,113
2039,663554,1.71,1711,115
2049,663559,0.15,1984,98
2052,663562,0.13,365,98
2055,663567,-0.61,1039,90
2056,663568,1.69,784,115
2060,663574,1.12,425,109
2062,663623,2.32,2897,122
2067,663687,0.38,1135,100
2069,663704,0.92,904,106
2075,663738,-0.14,492,95
2084,663765,0.12,536,98
2085,663767,0.19,108,98
2089,663773,0.94,729,107
2093,663776,0.11,1444,97
2100,663855,-0.02,1958,96
2103,663878,0.44,966,101
2105,663893,-0.77,641,88
2109,663903,-0.48,2781,91
2111,663941,0.08,142,97
2114,663947,1.13,1250,109
2115,663969,0.61,578,103
2119,663978,1.31,1459,111
2125,663989,-0.17,169,94
2128,663992,-0.05,480,96
2142,664076,-0.9,1002,86
2143,664079,0.15,153,98
2148,664123,0.03,34,97
2152,664126,0.39,696,101
2155,664129,0.04,138,97
2165,664192,-0.12,68,95
2174,664208,-0.47,981,91
2178,664285,-0.53,2413,90
2185,664299,-1.14,570,84
2188,664350,0.65,621,103
2189,664351,-0.32,105,93
2199,664747,-0.54,935,90
2203,664776,0.09,638,97
2206,664849,-0.08,588,95
2210,664854,-0.08,894,95
2214,664875,-0.03,1011,96
2222,664948,-0.08,30,95
2227,665019,-0.12,16,95
2232,665152,0.67,2002,104
2235,665620,-0.72,283,88
2239,665622,-0.68,720,89
2243,665625,-0.1,829,95
2255,665795,-0.67,1582,89
2259,665871,-0.35,2357,92
2263,665896,-0.13,311,95
2269,666129,0.34,588,100
2272,666142,-0.02,3029,96
2276,666157,1.88,1864,117
2280,666159,0.09,438,97
2284,666171,0.1,140,97
2288,666200,-0.42,1083,92
2292,666201,-0.39,394,92
2295,666204,-0.46,450,91
2299,666205,0.54,670,102
2301,666207,-0.3,102,93
2303,666208,-0.09,39,95
2306,666214,-1.02,1115,85
2308,666277,0.3,466,100
2315,666619,0.05,87,97
2318,666720,0.06,438,97
2322,666745,0.44,619,101
2326,666808,-0.46,1020,91
2330,666818,-0.73,229,88
2333,666974,1.6,918,114
2336,667297,-0.33,272,93
2346,667463,1.67,797,115
2353,667725,-0.86,580,87
2355,667755,-0.69,1737,89
2358,668338,0.4,878,101
2359,668390,0.45,286,101
2364,668674,0.1,912,97
2368,668676,-0.2,208,94
2372,668678,-0.22,2313,94
2382,668868,-0.21,317,94
2387,668881,0.2,2453,98
2389,668909,0.41,1275,101
2392,668933,-0.47,1342,91
2396,668941,-0.28,893,93
2397,668943,0.15,117,98
2399,668964,0.94,1951,107
2401,668968,-0.24,437,94
2405,668984,-0.09,130,95
2408,669022,-0.26,2806,93
2412,669060,1.16,1643,109
2413,669062,-0.29,1174,93
2416,669084,-0.27,669,93
2419,669093,0.8,920,105
2421,669111,-0.51,180,91
2432,669169,-0.1,108,95
2435,669194,2.65,2369,125
2439,669203,0.8,2836,105
2443,669211,1.11,1165,108
2447,669212,0.84,565,105
2452,669270,0.34,158,100
2456,669276,0.75,801,104
2461,669302,1.93,2775,117
2462,669308,-0.18,225,94
2466,669330,0.15,259,98
2469,669358,0.2,1037,98
2470,669372,0.1,369,97
2474,669373,2.43,2615,123
2476,669387,0.42,768,101
2478,669391,0.14,69,98
2482,669395,-0.05,16,96
2483,669422,-0.57,327,90
2490,669432,-0.09,2243,95
2492,669438,0.36,365,100
2496,669456,0.26,166,99
2500,669459,0.3,145,100
2503,669461,0.54,1292,102
2506,669467,-0.27,1778,93
2510,669620,0.31,203,100
2513,669622,0.98,873,107
2517,669674,-0.29,637,93
2521,669711,1.51,958,113
2524,669713,0.59,998,103
2526,669721,0.8,508,105
2528,669724,1.2,347,109
2531,669796,0.05,89,97
2535,669854,-0.58,2561,90
2539,669912,-0.12,196,95
