,game_year,pitcher,player_name,sequence_rv,match,split,freeze
0,2023,425794,"Wainwright, Adam",0.0008151035927294,0.008761682242990653,0.011098130841121495,0.014018691588785047
1,2023,425844,"Greinke, Zack",0.0002950609205941,0.008566275924256087,0.015329125338142471,0.01848512173128945
2,2023,434378,"Verlander, Justin",0.0008654577711687,0.022237665045170257,0.018763029881862403,0.014593467685892982
3,2023,445276,"Jansen, Kenley",0.0016106773644332,0.030513176144244106,0.019417475728155338,0.005547850208044383
4,2023,445926,"Chavez, Jesse",0.0008336637997032,0.01559792027729636,0.008665511265164644,0.006932409012131715
5,2023,446372,"Kluber, Corey",0.0006952358500447,0.010193679918450561,0.0163098878695209,0.009174311926605505
6,2023,448179,"Hill, Rich",0.0007731666675379,0.011857707509881422,0.006324110671936759,0.01818181818181818
7,2023,450203,"Morton, Charlie",0.0005986427784458,0.018655403027103133,0.019711369236184443,0.010911650827173531
8,2023,453178,"Kennedy, Ian",0.0003930019647154,0.022364217252396165,0.0,0.009584664536741214
9,2023,453268,"Bard, Daniel",0.0011835494915065,0.00964630225080386,0.010718113612004287,0.010718113612004287
10,2023,453286,"Scherzer, Max",-0.0003730275215543,0.008822401227464518,0.019946298427311087,0.01227464518603759
11,2023,455119,"Martin, Chris",0.0001562522471792,0.012482662968099861,0.012482662968099861,0.005547850208044383
12,2023,456501,"Cueto, Johnny",-0.000157594971835,0.01627906976744186,0.009302325581395349,0.002325581395348837
13,2023,456713,"Bush, Matt",0.0003359243321446,0.010309278350515464,0.0,0.005154639175257732
14,2023,458681,"Lynn, Lance",0.0007259343049873,0.0196078431372549,0.01680672268907563,0.0040460628695922814
15,2023,471911,"Carrasco, Carlos",-7.723375497688186e-05,0.015122873345935728,0.005671077504725898,0.008821676118462508
16,2023,472551,"Abad, Fernando",0.0006002384657005,0.02127659574468085,0.014184397163120567,0.02127659574468085
17,2023,472610,"García, Luis",0.0007506610496028,0.023762376237623763,0.026732673267326732,0.006930693069306931
18,2023,476595,"Luetge, Lucas",0.0031267901276245,0.014134275618374558,0.024734982332155476,0.01060070671378092
19,2023,477132,"Kershaw, Clayton",0.0006034953115144,0.00825643516270034,0.012141816415735794,0.006799417192812044
20,2023,488984,"Hunter, Tommy",0.0009034619318335,0.01907356948228883,0.010899182561307902,0.0
21,2023,489119,"Miley, Wade",0.0006527511373775,0.014415376401494928,0.017084890549919914,0.0069407367859049655
22,2023,489446,"Yates, Kirby",0.0003987902241916,0.020351526364477335,0.004625346901017576,0.0027752081406105457
23,2023,493603,"Ottavino, Adam",0.0005325691989421,0.0048828125,0.0185546875,0.0087890625
24,2023,500779,"Quintana, Jose",-0.0001090905874446,0.01627339300244101,0.026851098454027666,0.010577705451586655
25,2023,502043,"Gibson, Kyle",0.000640043455762,0.01468189233278956,0.01794453507340946,0.008809135399673736
26,2023,502083,"McAllister, Zach",0.000428513983415,0.032520325203252036,0.016260162601626018,0.008130081300813009
27,2023,502085,"Robertson, David",0.0033353127944461,0.02,0.016363636363636365,0.0036363636363636364
28,2023,502171,"Cobb, Alex",5.114623859196883e-05,0.0223463687150838,0.007980845969672785,0.009177972865123703
29,2023,502179,"Espino, Paolo",0.000972177815871,0.0,0.009900990099009901,0.019801980198019802
30,2023,502202,"Boxberger, Brad",-1.1727830790414045e-05,0.023668639053254437,0.014792899408284023,0.005917159763313609
31,2023,502624,"Anderson, Chase",0.0001552974207955,0.011065006915629323,0.021438450899031812,0.006915629322268326
32,2023,506433,"Darvish, Yu",0.001041927108876,0.010374379792512404,0.012629679747406405,0.018944519621109608
33,2023,518397,"Alexander, Scott",0.0006528478539741,0.024495677233429394,0.005763688760806916,0.005763688760806916
34,2023,518489,"Brasier, Ryan",0.0013180282515571,0.019438444924406047,0.024838012958963283,0.0064794816414686825
35,2023,518516,"Bumgarner, Madison",0.0001554911466958,0.008571428571428572,0.005714285714285714,0.025714285714285714
36,2023,518585,"Cruz, Fernando",0.0008749471306303,0.013404825737265416,0.013404825737265416,0.006255585344057194
37,2023,518617,"Diekman, Jake",0.0004094635564253,0.02261553588987217,0.01376597836774828,0.008849557522123894
38,2023,518876,"Kelly, Merrill",0.0001225270752401,0.015189873417721518,0.012341772151898734,0.007911392405063292
39,2023,518886,"Kimbrel, Craig",0.0006085332440331,0.03274760383386582,0.027156549520766772,0.009584664536741214
40,2023,519043,"Moore, Matt",-0.0002573563928771,0.012135922330097087,0.014563106796116505,0.012135922330097087
41,2023,519151,"Pressly, Ryan",0.0012315908795576,0.010762331838565023,0.019730941704035873,0.019730941704035873
42,2023,519242,"Sale, Chris",6.200887533610771e-05,0.010179640718562874,0.020958083832335328,0.011377245508982036
43,2023,519293,"Smith, Will",0.0007872699802964,0.01945945945945946,0.02702702702702703,0.008648648648648649
44,2023,523260,"Kelly, Joe",0.0011313541676404,0.02826379542395693,0.010767160161507403,0.012113055181695828
45,2023,527048,"Pérez, Martín",-0.0005047028568375,0.017361111111111112,0.00390625,0.001736111111111111
46,2023,527054,"Teheran, Julio",0.0007793556182913,0.004629629629629629,0.01574074074074074,0.010185185185185186
47,2023,541640,"Ramírez, Erasmo",0.0013189089897732,0.015657620041753653,0.007306889352818371,0.0020876826722338203
48,2023,542585,"Cisnero, José",0.0004798614338218,0.02129817444219067,0.018255578093306288,0.014198782961460446
49,2023,542881,"Anderson, Tyler",-4.1899690687114645e-05,0.011517893870835048,0.006170300287947347,0.0049362402303578775
50,2023,542888,"Armstrong, Shawn",0.0009654806027225,0.009779951100244499,0.011002444987775062,0.007334963325183374
