PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dLongitudinalAngle,SpinAxis3dTransverseAngle,SpinAxis3dTilt,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,PitchTrajectory3rdOrderXc0,PitchTrajectory3rdOrderXc1,PitchTrajectory3rdOrderXc2,PitchTrajectory3rdOrderXc3,PitchTrajectory3rdOrderYc0,PitchTrajectory3rdOrderYc1,PitchTrajectory3rdOrderYc2,PitchTrajectory3rdOrderYc3,PitchTrajectory3rdOrderZc0,PitchTrajectory3rdOrderZc1,PitchTrajectory3rdOrderZc2,PitchTrajectory3rdOrderZc3
11,2026-02-06,11:06:03.35,3,3,"Smith, Shane",681343,Right,WHI_SOX30,"Adler, Eric",688328,Right,WHI_SOX30,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,94.65281,-2.387263,-3.842199,2146.820979,199.890568,12:45,5.68518,2.26196,6.40593,-16.11347,14.49111,4.90189,2.1411,-0.86773,86.84303,-5.451201,-2.956947,0.398167,85.39358,15.089509,-2.693425,1751.610281,109.61694,18.11492,-9.16952,209.75545,209.75545,-7.60693,2.156654,-3.60666,8.51221,-1.9888,50,5.50634,9.01914,-137.27841,-6.20412,-6.90361,29.5192,-15.88059,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,80571e10-0386-11f1-8e19-276118046144,94.665,18.11177,,7.80978,,,,1.3012,2.16972,0.87616,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:06:03.35,2026-02-06T11:06:03.3554432-07:00,2026-02-06T18:06:03.3554432Z,LineDrive,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,891c0c39-4793-48d9-907b-8af891b32d35,54.09261,-138.15565,14.7596,5.6837,-5.73219,-7.9403,-2.25987,9.2243,-3.4518,111.686663,1.3012,120.79086,-15.42313,2.52127,-0.41877,0.01871,0.01606,-0.00533,0.00059,2.16971,32.60595,-17.96317,1.65071,-0.52383,0.24725,-0.09278,0.02133,-0.00212,0.8762,-5.68857,-5.0072,0.53097,0.64844,-0.65177,0.30274,-0.07363,0.00744,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.09953,-138.38401,16.22005,-2.44865,5.68512,-5.77937,-7.63856,-0.5059,-2.26191,9.29162,-3.88233,0.72184
12,2026-02-06,11:06:39.21,4,1,"Smith, Shane",681343,Right,WHI_SOX30,"Alberto, Alexander",693739,Right,WHI_SOX30,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.04689,-1.338587,-2.189598,2018.496699,120.589406,10:00,5.78645,2.3704,5.73286,-28.99521,4.68772,-6.29331,2.1225,-0.19408,84.15224,-6.659643,-3.315206,0.417711,,,,,,,,,,,,2.64717,3.03606,-2.184,50,5.65697,5.32936,-132.2481,-4.15235,4.72298,26.24089,-26.75722,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,95b871f0-0386-11f1-8e19-276118046144,90.23561,,,6.89465,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:06:39.21,2026-02-06T11:06:39.2154112-07:00,2026-02-06T18:06:39.2154112Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,05f8671d-1890-4ce3-9a10-76af8813821f,54.76582,-133.19039,13.12044,5.78882,-3.19153,-13.37861,-2.37233,5.15977,2.36149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.77258,-133.39363,14.30423,-1.80768,5.78648,-3.12099,-13.78943,0.62733,-2.37044,5.10301,2.6921,-0.50486
13,2026-02-06,11:06:55.81,4,2,"Smith, Shane",681343,Right,WHI_SOX30,"Alberto, Alexander",693739,Right,WHI_SOX30,Undefined,1,Top,1,0,1,Cutter,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,90.09549,-0.892704,-3.172827,1473.831133,276.072196,3:15,5.71189,2.3007,6.35181,-33.90053,-0.30248,11.93973,2.06384,0.37231,83.27061,-7.166495,-1.011794,0.417185,88.2193,22.624946,-48.831391,3568.729469,67.1643,29.6513,-87.11451,219.01595,134.22012,-55.925436,2.523805,-7.07178,0.34913,-2.07593,50,5.63111,6.79349,-130.95024,-3.17457,-12.3689,25.76755,-31.56338,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,9fa1ad30-0386-11f1-8e19-276118046144,90.34947,29.88409,,6.82488,,,,0.75421,1.82129,-0.27864,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:06:55.81,2026-02-06T11:06:55.8136320-07:00,2026-02-06T18:06:55.8136320Z,LineDrive,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,3f358895-d583-4d2e-9bf3-f0307b6f68f1,54.14882,-131.76409,12.88377,5.71564,-2.17766,-15.78169,-2.29667,7.18415,-6.18445,,0.75421,78.61835,-20.33001,5.47098,-1.36363,0.30092,-0.05275,0.00543,-0.00019,1.82129,49.77515,-24.69631,2.7899,-0.55011,0.10547,-0.01997,0.00325,-0.00026,-0.27864,-89.90455,9.94592,-1.45808,0.16784,-0.00951,6E-05,-2E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.15368,-131.91587,13.80396,-1.46261,5.71195,-2.06218,-16.48182,1.11283,-2.30061,7.30772,-6.9336,1.19074
14,2026-02-06,11:07:16.99,4,3,"Smith, Shane",681343,Right,WHI_SOX30,"Alberto, Alexander",693739,Right,WHI_SOX30,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,93.9457,-1.783879,-2.836161,2125.545177,193.265362,12:30,5.69731,2.42111,5.83984,-15.3791,16.28391,3.60957,2.75526,0.0839,86.12953,-4.695934,-2.190199,0.404993,80.30584,12.686191,-162.786369,2858.231707,,,,,35.35567,,,-2.60532,9.10272,-2.19211,50,5.54281,6.59301,-136.31544,-4.73253,-4.92099,28.89016,-14.9807,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,ac3f0bf0-0386-11f1-8e19-276118046144,93.06937,8.90524,,7.81617,,,,-0.14836,2.55139,0.00844,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:07:16.99,2026-02-06T11:07:16.9989120-07:00,2026-02-06T18:07:16.9989120Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,66e50b82-1e8b-4faf-a05d-ad01abc0f7f5,54.65788,-137.29906,14.44508,5.69526,-4.22248,-7.49035,-2.41943,6.76055,-2.4605,,-0.14994,-109.69509,11.94214,,,,,,,2.55419,25.75045,-18.67447,,,,,,,0.00081,-33.68776,17.4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6656,-137.54301,15.93957,-2.40033,5.69724,-4.28523,-7.1059,-0.61747,-2.42107,6.81226,-2.77725,0.50874
15,2026-02-06,11:07:41.36,4,4,"Smith, Shane",681343,Right,WHI_SOX30,"Alberto, Alexander",693739,Right,WHI_SOX30,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.23572,-1.086546,-1.567354,2066.962578,201.054119,12:45,5.71896,2.34492,5.97943,-16.29347,14.27528,5.13835,3.35351,1.31992,87.31702,-4.169372,-0.643882,0.397933,,,,,,,,,,,,-3.05012,7.90481,-2.22386,50,5.62397,3.55643,-138.37155,-3.14563,-5.93831,29.66698,-16.78416,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,bac80e10-0386-11f1-8e19-276118046144,94.72049,,,7.9187,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:07:41.36,2026-02-06T11:07:41.3658624-07:00,2026-02-06T18:07:41.3658624Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,44c62e90-6967-4ac6-bf42-960a890a3c26,54.51781,-139.33681,14.83349,5.71744,-2.59954,-8.39208,-2.34272,3.74964,-2.96915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.52599,-139.59244,16.38173,-2.45846,5.7189,-2.64531,-8.11489,-0.44015,-2.34487,3.81688,-3.37639,0.64666
16,2026-02-06,11:08:00.22,4,5,"Smith, Shane",681343,Right,WHI_SOX30,"Alberto, Alexander",693739,Right,WHI_SOX30,Undefined,1,Top,1,1,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,79.33917,1.084894,-0.959958,2152.905753,17.803645,6:30,5.84572,2.10629,6.17634,-56.9205,-13.69434,-4.7552,2.1045,0.82342,74.22273,-9.326436,-1.820337,0.4732,83.42765,6.820172,-4.922595,835.119447,,,,109.70339,109.70339,-7.18133,1.010987,2.25567,-7.12618,-2.03129,50,5.89824,2.10079,-115.58564,0.4159,3.09109,18.93048,-41.93948,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,c60b3400-0386-11f1-8e19-276118046144,79.65435,5.20822,,5.11644,,,,1.4845,2.16095,-0.84689,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:08:00.22,2026-02-06T11:08:00.2220544-07:00,2026-02-06T18:08:00.2220544Z,GroundBall,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,0e31c42f-8287-4d4a-974c-977d5c9bae16,54.32806,-116.29232,9.46524,5.85349,1.98152,-20.96974,-2.10756,1.9854,1.54554,91.612119,1.59034,119.6041,-13.46244,,,,,,,2.22234,13.70108,-15.78127,,,,,,,-0.81486,-10.86603,-1.89971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3292,-116.32465,9.64127,-0.25132,5.84585,2.19633,-22.13956,1.67018,-2.10632,1.95054,1.73536,-0.271
17,2026-02-06,11:08:37.46,5,1,"Smith, Shane",681343,Right,WHI_SOX30,"Albertus, Alexander",800316,Right,WHI_SOX30,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,95.10011,-1.99638,-2.631564,2175.308877,209.190695,1:00,5.65365,2.25426,6.32653,-16.45324,13.84276,7.21878,2.44144,0.43077,87.30546,-5.119641,-1.326807,0.396154,77.37462,33.499778,-152.796671,3594.474484,,,,,40.63122,,,-4.47981,8.03493,-2.06555,50,5.49988,6.04903,-138.12839,-5.31578,-8.68921,29.62701,-16.58923,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,dc30e950-0386-11f1-8e19-276118046144,95.14592,23.26621,,7.79465,,,,0.72591,2.29283,-0.49055,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:08:37.46,2026-02-06T11:08:37.4611968-07:00,2026-02-06T18:08:37.4611968Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,fc2df238-500f-44d0-96bd-6b78bb943ff2,54.17231,-139.02042,14.81351,5.65241,-4.8163,-8.29461,-2.25162,6.31065,-4.34461,,0.73392,-84.40994,5.52234,,,,,,,2.32465,61.68839,-34.48953,,,,,,,-0.50163,-42.93238,10.32541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.17893,-139.24104,16.23687,-2.40755,5.65361,-4.85621,-8.03709,-0.4356,-2.2542,6.39659,-4.89904,0.93779
18,2026-02-06,11:08:57.18,5,2,"Smith, Shane",681343,Right,WHI_SOX30,"Albertus, Alexander",800316,Right,WHI_SOX30,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.55865,-2.982938,-4.374549,2180.963082,202.814735,12:45,5.54813,2.25473,7.19063,-14.93044,14.68083,5.81701,1.59165,-1.23069,87.36929,-5.855378,-3.309343,0.391652,,,,,,,,,,,,-4.22855,8.92697,-2.00249,50,5.36987,10.28781,-137.21782,-7.52099,-8.14177,27.55479,-14.98577,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,e7f721f0-0386-11f1-8e19-276118046144,96.23974,,,7.18936,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:08:57.18,2026-02-06T11:08:57.1838464-07:00,2026-02-06T18:08:57.1838464Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,1d3aae33-46fa-46b1-8912-074c150eb43c,53.30846,-137.8806,13.7774,5.54643,-7.16054,-7.49289,-2.25229,10.48364,-4.07089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.31484,-138.08788,15.08219,-2.15329,5.54807,-7.21376,-7.15786,-0.5529,-2.25468,10.56107,-4.55825,0.80429
19,2026-02-06,11:09:18.92,5,3,"Smith, Shane",681343,Right,WHI_SOX30,"Albertus, Alexander",800316,Right,WHI_SOX30,Undefined,1,Top,1,1,1,Curveball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50943,-2.03376,-1.701368,2187.729252,152.390903,11:00,5.77139,2.326,5.91614,-26.19675,6.04937,-2.70043,1.6993,0.52156,85.88207,-6.856069,-2.186458,0.408705,,,,,,,,,,,,0.97969,3.87189,-2.18811,50,5.59326,4.10841,-134.46856,-5.7108,1.8159,25.78669,-24.99726,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,f4ec3da0-0386-11f1-8e19-276118046144,92.22407,,,6.62736,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:09:18.92,2026-02-06T11:09:18.9208064-07:00,2026-02-06T18:09:18.9208064Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,a7903138-8b45-4bcb-9083-c6ae7b19a8b7,54.5835,-135.34467,12.89335,5.77286,-4.86151,-12.49863,-2.32665,4.04671,0.90795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.58933,-135.52861,14.01795,-1.80265,5.7714,-4.81565,-12.77899,0.4494,-2.32601,4.02666,1.03057,-0.19655
20,2026-02-06,11:09:38.68,5,4,"Smith, Shane",681343,Right,WHI_SOX30,"Albertus, Alexander",800316,Right,WHI_SOX30,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75859,-1.116639,-2.226536,1510.922314,259.015328,2:45,5.71545,2.24389,6.50148,-30.42352,3.73902,14.5295,2.15437,1.41008,82.52099,-6.772288,0.413196,0.420675,,,,,,,,,,,,-8.16595,2.52043,-2.09417,50,5.62403,4.47576,-129.18693,-3.47553,-13.99315,23.38628,-27.85503,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,00b53560-0387-11f1-8e19-276118046144,89.59998,,,6.2376,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:09:38.68,2026-02-06T11:09:38.6894848-07:00,2026-02-06T18:09:38.6894848Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,fa818cb5-71fc-4a2e-bcca-83d643d960ab,53.99926,-129.90889,11.69314,5.71804,-2.61563,-13.92752,-2.23901,4.90774,-6.99657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.00402,-130.05134,12.52044,-1.25964,5.71548,-2.53864,-14.37462,0.68075,-2.24379,5.05086,-7.82774,1.26553
21,2026-02-06,11:10:05.47,5,5,"Smith, Shane",681343,Right,WHI_SOX30,"Albertus, Alexander",800316,Right,WHI_SOX30,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.47182,-0.488654,-1.585008,2209.302813,10.125333,6:15,5.91899,2.07248,5.72077,-54.2459,-13.14583,-2.55701,0.94316,0.38267,76.65981,-10.316777,-2.044154,0.461416,,,,,,,,,,,,0.89165,-6.34272,-1.93843,50,5.8439,3.41664,-119.93912,-2.90844,1.30323,22.46506,-41.44444,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,10b12870-0387-11f1-8e19-276118046144,81.68862,,,5.81201,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:10:05.47,2026-02-06T11:10:05.4704128-07:00,2026-02-06T18:10:05.4704128Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,0a70b865-2237-46ca-9410-67a122f8a208,54.78226,-120.83154,11.23253,5.92674,-1.26208,-20.72222,-2.07313,3.36488,0.65162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.78475,-120.90447,11.6466,-0.61633,5.91913,-1.03909,-21.98821,1.88439,-2.0725,3.34635,0.75679,-0.15655
22,2026-02-06,11:14:25.07,1,1,"Burke, Sean",680732,Right,WHI_SOX30,"Hays, Austin",669720,Right,WHI_SOX30,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.56391,-3.747076,-2.191706,2407.449975,190.132908,12:15,6.13171,2.14349,6.86329,-12.94036,19.17442,3.24776,1.63047,0.4154,84.09827,-6.261075,-1.598577,0.407872,,,,,,,,,,,,-2.32575,11.53434,-2.00514,50,5.8878,4.96738,-132.91981,-8.99283,-4.17172,27.79316,-11.4848,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,ab675420-0387-11f1-8e19-276118046144,92.41241,,,7.46564,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:14:25.07,2026-02-06T11:14:25.0757120-07:00,2026-02-06T18:14:25.0757120Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,39a84cb8-1d66-4b7b-8238-132ad3ee8e28,53.63524,-133.67777,13.89658,6.12878,-8.67963,-5.7424,-2.14216,5.08115,-2.08586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.64218,-133.90133,15.29285,-2.2863,6.13162,-8.77137,-5.16944,-0.93818,-2.14346,5.12314,-2.34812,0.42943
23,2026-02-06,11:14:41.29,1,2,"Burke, Sean",680732,Right,WHI_SOX30,"Hays, Austin",669720,Right,WHI_SOX30,Undefined,1,Bottom,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,85.57607,-1.96978,-2.783401,2439.111699,102.717373,9:30,6.04733,2.67053,5.80853,-35.48943,2.48461,-6.34524,1.25526,-0.44862,79.61642,-8.441778,-3.920011,0.443522,52.86515,-47.958391,44.081924,,,,,3.21791,3.21791,22.905149,0.023439,2.57646,2.05583,-2.43824,50,5.86412,6.29086,-124.27915,-5.49226,4.06831,22.66575,-28.92788,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,b518dd90-0387-11f1-8e19-276118046144,84.98447,1.35443,,5.95965,,,,2.08685,1.35443,0.40278,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:14:41.29,2026-02-06T11:14:41.2929536-07:00,2026-02-06T18:14:41.2929536Z,GroundBall,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,794cbc2e-2dc0-45c5-9a0d-64c3e2066a3a,54.6919,-125.13192,11.33287,6.05029,-4.40388,-14.46394,-2.67205,6.13779,2.03415,,2.08636,37.43033,,,,,,,,1.35519,-57.78545,,,,,,,,0.4023,36.24962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.69695,-125.28357,12.21385,-1.3418,6.04736,-4.31617,-14.97349,0.77608,-2.67056,6.09312,2.29365,-0.39523
24,2026-02-06,11:15:18.77,2,1,"Burke, Sean",680732,Right,WHI_SOX30,"Cerda, Derek",832213,Right,WHI_SOX30,Undefined,1,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.68232,0.973544,-2.515335,2282.121378,20.824948,6:45,6.1262,2.51303,6.01321,-55.83617,-10.93138,-4.67004,2.37599,-0.20771,72.64859,-9.242208,-3.355912,0.4823,,,,,,,,,,,,1.69039,-5.43638,-2.31322,50,6.17259,5.19406,-114.32685,0.14814,2.23539,21.24359,-39.36321,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,cb6e7c80-0387-11f1-8e19-276118046144,78.15136,,,6.03373,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:15:18.77,2026-02-06T11:15:18.7730432-07:00,2026-02-06T18:15:18.7730432Z,,v3,,,,"Acuna, Luisangel",682668,Right,WHI_SOX30,d5a34d0d-beb2-4f45-ad31-864601bd0739,54.48799,-115.15776,10.62179,6.13668,1.68778,-19.6816,-2.51467,5.10662,1.1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49225,-115.26687,11.16337,-0.70476,6.12642,1.95053,-20.98579,1.69714,-2.51307,5.0658,1.32033,-0.26369
