Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",143,642,31,107,84,32,0.10436137,0.238317757,0.281914893,0.299479166,0.258865248,0.342679127,0.540780141,0.37149713461675615,0.3714392080247027,139.08839604480144,10.26703043282032,40.009503964956885,2.5449557304382324,6.53919756023393,"Corbin Carroll",25878,682998
"Elly De La Cruz","CIN",162,699,22,102,86,37,0.095851216,0.258941344,0.176470589,0.337236533,0.263910969,0.336194563,0.440381558,0.3325369146115894,0.3218921511454353,108.50352613594754,9.366406241431832,16.411234860235368,2.7464590072631836,4.33944145900445,"Elly De La Cruz",26668,682829
"Byron Buxton","MIN",126,542,35,97,83,24,0.075645756,0.27306273,0.286885246,0.302250803,0.264344262,0.326568265,0.551229508,0.3666271403071157,0.34775916142250174,136.3415758121969,8.5274652633816,31.742835614070653,-1.3612439632415771,5.017032364611684,"Byron Buxton",14161,621439
"Trea Turner","PHI",141,639,15,94,69,36,0.067292644,0.167449139,0.152801358,0.34968017,0.303904923,0.355242566,0.456706281,0.35156535943473766,0.31791899869434515,124.8082278067238,7.955487499013543,26.743931087851973,17.25831699371338,6.677112544143246,"Trea Turner",16252,607208
"Trevor Story","BOS",157,654,25,91,96,31,0.050458715,0.269113149,0.16993464,0.330097087,0.263071895,0.307810107,0.433006535,0.3203090862628141,0.30914054292799703,100.99665332453415,7.769699890166521,8.537935515768556,-1.5511994361877441,3.017846071095698,"Trevor Story",12564,596115
"Bobby Witt Jr.","KCR",157,687,23,99,88,38,0.071324599,0.181950509,0.205457464,0.334024896,0.295345104,0.350800582,0.500802568,0.36028863131912187,0.3629063487758298,129.71644196602443,7.413172552362084,31.47486219598688,23.18013095855713,8.011112534654776,"Bobby Witt Jr.",25764,677951
"CJ Abrams","WSN",144,635,19,92,60,31,0.058267716,0.196850393,0.175862069,0.296127562,0.256896551,0.315457413,0.43275862,0.32365244561085393,0.30793198138051686,107.31756540218946,7.371237672865391,12.878484530307514,-3.318309783935547,3.1396415570134737,"CJ Abrams",25768,682928
"Gunnar Henderson","BAL",154,651,17,85,68,30,0.095238095,0.210445468,0.164644715,0.329439252,0.273830155,0.348694316,0.43847487,0.33939238232235575,0.33919321616614667,119.78289181549304,7.284861529245973,22.463867767340375,1.7328612804412842,4.768079440044021,"Gunnar Henderson",26289,683002
"José Ramírez","CLE",158,673,30,103,85,44,0.09806835,0.109955423,0.219224283,0.279352226,0.283305227,0.360119047,0.50252951,0.35964188603254466,0.34186335637019233,133.4721923751499,7.250836165621877,33.80128076665129,4.583213627338409,6.297136862613903,"Jose Ramirez",13510,608070
"Jarren Duran","BOS",157,696,16,86,84,24,0.086206896,0.242816091,0.185483871,0.326484018,0.256451612,0.3323741,0.441935483,0.3350495208237288,0.32520460428785625,111.15078705378289,7.191657543182373,16.33883988853637,-2.058706045150757,3.911952017864964,"Jarren Duran",24617,680776
"Pete Crow-Armstrong","CHC",157,647,31,91,95,35,0.044822256,0.239567233,0.233502538,0.275779376,0.247038917,0.287051482,0.480541455,0.3234034123830497,0.3211609317893323,108.9191437637993,6.71594494394958,13.555402371707675,17.416976928710938,5.371225599643558,"Pete Crow-Armstrong",27769,691718
"Fernando Tatis Jr.","SDP",155,691,25,111,71,32,0.128798842,0.186685962,0.178451179,0.30316742,0.267676767,0.367583212,0.446127946,0.3532081374473739,0.3681093907741373,131.28272564346076,5.8059568870812654,31.425822005830458,5.128818988800049,6.092135171439661,"Fernando Tatis Jr.",19709,665487
"Oneil Cruz","PIT",135,544,20,62,61,38,0.117647058,0.319852941,0.178343949,0.262411347,0.199575371,0.297794117,0.37791932,0.29478162118682155,0.32097208810118494,85.63652013289894,5.75530850328505,-3.505582557338913,0.877325177192688,1.582851848706642,"Oneil Cruz",21711,665833
"Dansby Swanson","CHC",159,645,24,84,77,20,0.072868217,0.260465116,0.172881356,0.297766749,0.244067796,0.29968944,0.416949152,0.3095082416319365,0.3443153357580072,99.40050492924945,4.7424059603363276,4.284116850960381,6.915017440915108,3.3413672524058704,"Dansby Swanson",18314,621020
"Nico Hoerner","CHC",156,649,7,89,61,29,0.060092449,0.07550077,0.096828047,0.312614259,0.297161936,0.345146379,0.393989983,0.324089211722215,0.31851302745730375,109.3889383665007,4.5452390145510435,11.767204203495037,13.549191236495972,4.799355591702349,"Nico Hoerner",21479,663538
"Zach McKinstry","DET",144,511,12,68,49,19,0.090019569,0.217221135,0.17920354,0.314371257,0.258849557,0.333333333,0.438053097,0.33299771683155205,0.3027335655946863,113.6826954217801,4.384622802957892,12.625342357411105,0.7158436924219131,3.1644212694351808,"Zach McKinstry",19392,656716
"Jeremy Peña","HOU",125,543,17,68,62,20,0.064456721,0.171270718,0.172413793,0.345454545,0.304259634,0.363468634,0.476673427,0.3629105426647045,0.3332687689333546,135.11462301057807,4.281400267034769,26.7543672977083,10.43244457244873,5.716812989542194,"Jeremy Pena",21636,665161
"Ceddanne Rafaela","BOS",156,587,16,84,63,20,0.04770017,0.199318568,0.164835164,0.289156626,0.249084249,0.294520547,0.413919413,0.3065042726389349,0.30437025305343,91.48703384452843,3.926151018589735,-1.9635274042159505,18.9567129611969,3.805695239399587,"Ceddanne Rafaela",24262,678882
"Julio Rodríguez","SEA",160,710,32,106,95,30,0.06197183,0.214084507,0.207055215,0.302127659,0.266871165,0.323943661,0.47392638,0.3409884508619917,0.3453922326068933,125.96944026266532,3.8648876510560513,25.59657822203235,5.944949150085449,5.727308625546893,"Julio Rodriguez",23697,677594
"Bryson Stott","PHI",147,560,13,66,66,24,0.096428571,0.1625,0.134268537,0.288220551,0.256513026,0.327956989,0.390781563,0.3152057655837848,0.3115720355104073,99.90073669076088,3.850186586380005,3.784303948076609,7.9119884967803955,3.102895960977081,"Bryson Stott",26294,681082
